Country,Economy,Plastic waste generated,Inadequately managed plastic waste,Plastic waste littered,Mismanaged plastic waste rate,Mismanaged plastic waste 2010,"Mismanaged plastic waste in 2025
 [tonnes]7",Legislation,Restriction,Agricultural employment,Export/Import,Foreign direct investment
Mauritania,LMI,"44,995.27","37,056.26",899.91,0.04,"13,854.00"," 39,754 ",Restriction,"Manufacture, Retail Distribution, and Importation",30.5,43.0,1.9
Mauritius,UMI,"287,424.62","147,817.07","5,748.49",0.12,"56,051.43"," 73,172 ",Restriction,"Manufacture, Retail Distribution, and Importation",5.2,76.6,1.1
Mexico,UMI,"1,951,784.90","238,616.10","39,035.70",0.01,"101,342.90"," 233,393 ",Disposal regulation,,5.2,59.8,1.5
Micronesia,LMI,"15,846.53","12,818.24",316.93,0.08,"4,794.34"," 10,699 ",Disposal regulation,,28.1,57.1,0.6
Moldova,LMI,,,,,,,Restriction,Retail Distribution,37.6,75.1,10.1
Monaco,HI,"8,544.85",0.00,170.90,0.01,62.38, 88 ,Restriction,"Manufacture, Retail Distribution, and Importation",24.9,48.3,3.1
Mongolia,LMI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",,120.3,0.1
Montenegro,UMI,"37,332.18","11,352.87",746.64,0.05,"4,416.32"," 7,244 ",Extended Producer Responsibility,,39.8,187.5,6.3
Morocco,LMI,"1,250,518.96","824,649.54","25,010.38",0.05,"310,125.87"," 706,583 ",Restriction,"Manufacture, Retail Distribution, and Importation",6.7,79.6,1.8
Mozambique,LI,"146,655.35","123,080.89","2,933.11",0.01,"45,995.11"," 287,067 ",Restriction,"Manufacture, Retail Distribution, and Importation",18.9,81.2,-2.2
Myanmar,LMI,"1,416,163.97","1,227,208.41","28,323.28",0.07,"458,269.07"," 1,149,267 ",Disposal regulation,,38.1,87.1,3.1
Namibia,UMI,"22,239.05","14,569.84",444.78,0.10,"5,480.34"," 11,340 ",Disposal regulation,,26.5,101.1,-1.4
Nauru,UMI,"2,192.44","1,472.72",43.85,0.10,553.55," 1,043 ",Disposal regulation,,18.5,106.0,6.0
Nepal,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",18.5,77.5,1.6
Netherlands,HI,"3,794,520.40",0.00,"75,890.41",0.01,"27,700.00"," 32,387 ",Restriction,"Manufacture, Retail Distribution, and Importation",51.1,56.6,2.9
New Zealand,HI,"1,272,006.11",0.00,"25,440.12",0.01,"9,285.64"," 11,517 ",Extended Producer Responsibility,,13.5,116.6,5.1
Nicaragua,LMI,"496,103.92","221,352.79","9,922.08",0.07,"84,415.33"," 169,439 ",Disposal regulation,,29.3,45.8,1.3
Niger,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",31.0,93.3,2.7
Nigeria,LMI,"2,811,045.94","2,276,635.74","56,220.92",0.08,"851,492.68"," 2,481,008 ",Disposal regulation,,43.9,43.1,1.5
Norway,HI,"1,151,085.77",0.00,"23,021.72",0.01,"8,402.93"," 9,798 ",Levy/tax,,50.0,121.0,0.3
Oman,HI,"217,285.56","8,416.26","4,345.71",0.00,"4,658.12"," 11,774 ",Disposal regulation,,31.9,102.1,5.7
Pakistan,LMI,"1,491,806.60","1,286,582.57","29,836.13",0.09,"480,492.83"," 1,221,460 ",Restriction,"Manufacture, Retail Distribution, and Importation",,105.2,0.4
Palau,HI,"3,362.16","1,895.36",67.24,0.08,716.35," 1,350 ",Restriction,Retail Distribution and Importation,56.8,78.6,0.2
Panama,HI,"469,865.93","84,815.28","9,397.32",0.03,"34,387.60"," 70,759 ",Restriction,Retail Distribution,,99.0,0.3
Papua New Guinea,LMI,"281,084.42","240,502.41","5,621.69",0.09,"89,835.30"," 242,328 ",Restriction,"Manufacture, Retail Distribution, and Importation",23.7,,7.2
Paraguay,UMI,,,,,,,Restriction,Retail Distribution and Importation,35.8,154.9,13.3
Peru,UMI,"1,973,988.19","493,267.33","39,479.76",0.04,"194,452.69"," 377,111 ",Disposal regulation,,13.0,110.6,-1.3
Philippines,LMI,"6,237,652.93","5,035,955.52","124,753.06",0.06,"1,883,658.63"," 5,088,394 ",Disposal regulation,,68.0,75.8,9.5
Poland,HI,"315,379.82","36,715.23","6,307.60",0.01,"15,703.33"," 26,855 ",Restriction,Retail Distribution,61.1,97.9,2.9
Portugal,HI,"2,246,907.32",0.01,"44,938.15",0.01,"16,402.43"," 19,382 ",Restriction,Importation,33.9,73.6,5.5
Qatar,HI,"103,785.67",0.20,"2,075.71",0.00,757.71," 1,560 ",Disposal regulation,,53.9,75.7,2.1
Romania,UMI,"35,951.98","9,172.33",719.04,0.01,"3,610.35"," 8,261 ",Restriction,"Manufacture, Retail Distribution, and Importation",41.4,97.5,2.5
Russia,UMI,"1,201,651.30","197,225.83","24,033.03",0.02,"80,759.48"," 128,946 ",Disposal regulation,,50.1,48.0,6.0
Rwanda,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",30.4,124.9,12.6
Saint Kitts and Nevis,HI,"23,512.33","1,488.54",470.25,0.05,714.96, 742 ,New regulation proposed,,57.5,36.2,0.9
Saint Lucia,UMI,"84,849.48","16,683.33","1,696.99",0.11,"6,708.82"," 8,610 ",Disposal regulation,,70.1,54.3,0.8
Saint Vincent and the Grenadines,UMI,"26,450.80","5,620.64",529.02,0.05,"2,244.63"," 2,996 ",New regulation proposed,,49.1,52.3,-5.4
Samoa,UMI,"17,189.80","13,688.14",343.80,0.08,"5,121.66"," 10,989 ",Restriction,"Manufacture, Retail Distribution, and Importation",46.3,39.3,2.3
San Marino,HI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",67.2,48.4,1.1
Sao Tome and Principe,LMI,"16,751.42","13,586.81",335.03,0.09,"5,081.47"," 13,309 ",Disposal regulation,,41.7,28.0,0.9
Saudi Arabia,HI,"558,245.72","45,141.88","11,164.91",0.02,"20,551.98"," 43,855 ",Restriction,"Manufacture, Retail Distribution, and Importation",61.4,98.4,2.8
Senegal,LMI,"831,234.57","681,375.58","16,624.69",0.09,"254,770.10"," 738,264 ",Restriction,"Manufacture, Retail Distribution, and Importation",14.7,,
Serbia,UMI,,,,,,,Extended Producer Responsibility,,67.7,,-0.8
Seychelles,HI,"32,534.57","12,004.76",650.69,0.14,"4,619.24"," 5,478 ",Restriction,"Manufacture, Retail Distribution, and Importation",56.9,40.1,0.8
Sierra Leone,LI,"116,274.61","97,422.83","2,325.49",0.03,"36,408.14"," 121,312 ",No national law found,,66.6,51.5,3.2
Singapore,HI,"866,849.18",393.40,"17,336.98",0.00,"6,471.59"," 10,878 ",Disposal regulation,,36.6,26.3,0.9
Slovakia,HI,,,,,,,Restriction,Retail Distribution,66.4,32.2,2.2
Slovenia,HI,"48,669.81",550.03,973.40,0.00,556.05, 985 ,Restriction,Retail Distribution,70.8,47.8,4.9
Solomon Islands,LMI,"63,293.85","54,608.36","1,265.88",0.09,"20,394.09"," 176,589 ",New regulation proposed,,55.4,125.7,11.8
Somalia,LI,"320,651.78","271,752.92","6,413.04",0.05,"101,530.57"," 289,601 ",No national law found,,68.2,74.7,4.1
South Africa,UMI,"3,082,909.04","1,664,381.61","61,658.18",0.13,"630,004.52"," 836,279 ",Restriction,"Manufacture, Retail Distribution, and Importation",41.4,79.6,2.2
South Sudan,,,,,,,,No national law found,,,,
Spain,HI,"6,281,173.39",0.00,"125,623.47",0.01,"45,852.57"," 58,932 ",Restriction,Retail Distribution,48.0,59.0,2.6
Sri Lanka,UMI,"5,163,689.27","4,256,119.57","103,273.79",0.30,"1,591,178.57"," 1,918,670 ",Restriction,"Manufacture, Retail Distribution, and Importation",32.0,57.9,2.8
Sudan,LMI,"76,987.48","61,276.60","1,539.75",0.08,"22,927.97"," 52,061 ",No national law found,,34.5,74.3,1.9
Suriname,UMI,"65,375.78","9,492.64","1,307.52",0.03,"3,942.06"," 6,394 ",Disposal regulation,,43.1,22.6,2.8
Swaziland,LMI,,,,,,,Disposal regulation,,2.3,98.4,0.0
Sweden,HI,"294,575.10",0.00,"5,891.50",0.00,"2,150.40"," 5,245 ",No national law found,,49.8,75.5,4.5
Switzerland,HI,,,,,,,No national law found,,38.6,51.2,0.3
Syria,LI,"642,596.60","419,762.68","12,851.93",0.12,"157,904.33"," 304,960 ",No national law found,,49.9,116.9,8.9
Tajikistan,LI,,,,,,,Disposal regulation,,71.9,65.3,4.4
Tanzania,LI,"155,645.93","129,999.25","3,112.92",0.02,"48,585.94"," 214,196 ",Restriction,"Manufacture, Retail Distribution, and Importation",66.2,31.2,4.9
Thailand,UMI,"3,734,629.58","2,741,031.18","74,692.59",0.11,"1,027,739.18"," 2,179,508 ",Disposal regulation,,29.7,62.1,0.4
Timor-Leste,LMI,"68,416.37","55,316.04","1,368.33",0.08,"20,689.79"," 64,205 ",Disposal regulation,,66.5,132.1,5.8
Togo,LI,"113,404.10","94,721.32","2,268.08",0.05,"35,401.13"," 96,994 ",Restriction,"Manufacture, Retail Distribution, and Importation",46.2,120.9,7.5
Tonga,UMI,"22,708.48","17,693.71",454.17,0.18,"6,623.98"," 10,272 ",Levy/tax,,35.5,,-1.0
Trinidad and Tobago,HI,"4,880,578.08","160,103.50","97,611.56",0.19,"94,066.00"," 73,512 ",Disposal regulation,,68.0,57.8,1.2
Tunisia,LMI,"1,043,231.13","621,077.24","20,864.62",0.09,"234,308.78"," 440,701 ",Restriction,"Manufacture, Retail Distribution, and Importation",68.7,71.0,2.8
Turkey,UMI,"7,200,575.96","1,187,323.12","144,011.52",0.04,"485,937.14"," 790,235 ",Restriction,"Manufacture, Retail Distribution, and Importation",71.7,117.3,18.3
Turkmenistan,UMI,,,,,,,No national law found,,58.9,74.1,20.1
Tuvalu,UMI,"1,658.13","1,218.50",33.16,0.11,456.86, 861 ,Disposal regulation,,28.7,63.6,0.0
Uganda,LI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",62.7,37.5,1.5
Ukraine,LMI,"696,983.40","338,840.78","13,939.67",0.05,"128,764.86"," 233,388 ",Disposal regulation,,65.3,61.4,3.6
United Arab Emirates,HI,"400,370.57",255.52,"8,007.41",0.00,"3,015.97"," 5,910 ",Restriction,"Manufacture, Retail Distribution, and Importation",92.0,23.1,0.0
United Kingdom,HI,"9,253,292.65",0.00,"185,065.85",0.00,"67,549.04"," 94,165 ",Levy/tax,,49.6,114.0,-0.3
United States,HI,"37,729,383.11",0.00,"754,587.66",0.01,"275,424.50"," 336,819 ",No national law found,,81.6,73.7,3.4
Uruguay,HI,"610,711.17","46,860.93","12,214.22",0.02,"21,562.43"," 8,037 ",Extended Producer Responsibility,,72.8,46.1,0.8
Uzbekistan,LMI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",75.9,49.6,4.2
Vanuatu,LMI,"73,933.38","60,104.46","1,478.67",0.24,"22,477.84"," 38,006 ",Restriction,"Manufacture, Retail Distribution, and Importation",59.9,,
Venezuela,UMI,"4,039,014.40","199,584.58","80,780.29",0.02,"102,333.18"," 154,243 ",Disposal regulation,,,,
Vietnam,LMI,"5,714,577.75","4,909,870.48","114,291.56",0.09,"1,833,819.14"," 4,172,828 ",Levy/tax,,,150.6,0.0
Yemen,LI,"618,834.76","451,133.65","12,376.70",0.08,"169,181.28"," 513,907 ",Restriction,"Manufacture, Retail Distribution, and Importation",,,
Zambia,LMI,,,,,,,New regulation proposed,,72.4,81.9,5.4
Zimbabwe,LMI,,,,,,,Restriction,"Manufacture, Retail Distribution, and Importation",,,0.7
,,,,,,,"69,143,290",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
